influencedBy/0/values,influencedBy/1/values,influencedBy/2/values,influencedBy/3/values,influencedBy/4/values,influencedBy/5/values,influencedBy/6/values,influencedBy/7/values,genre/0/values,genre/1/values,genre/2/values,influenced/0/values,influenced/1/values,influenced/2/values,influenced/3/values,normnationality,vid,birthDate/0/values,normbirthdate,name/0/values,name/1/values,normname,URI,description/0/values,normdes,nationality/0/values,name/2/values,genre/3/values,nationality/1/values,influencedBy/8/values,genre/4/values,genre/5/values,genre/6/values,genre/7/values,genre/8/values,influencedBy/9/values,influencedBy/10/values,influencedBy/11/values,influencedBy/12/values,influencedBy/13/values,influencedBy/14/values,description/1/values,birthDate/1/values,influencedBy/15/values,influencedBy/16/values,influencedBy/17/values,influenced/4/values,influenced/5/values,influenced/6/values,influenced/7/values,influenced/8/values,influenced/9/values,influenced/10/values,influenced/11/values,influenced/12/values,influencedBy/18/values,influencedBy/19/values,influencedBy/20/values,influencedBy/21/values,influencedBy/22/values,influencedBy/23/values,influencedBy/24/values,influencedBy/25/values,influencedBy/26/values,influenced/13/values,influenced/14/values,influenced/15/values,influenced/16/values,influenced/17/values,name/3/values,name/4/values,genre/9/values,genre/10/values,genre/11/values,genre/12/values,influencedBy/27/values,influencedBy/28/values,influencedBy/29/values,influencedBy/30/values,influencedBy/31/values,influenced/18/values,influenced/19/values,influenced/20/values,influenced/21/values,influenced/22/values,influenced/23/values,influenced/24/values,influenced/25/values,influenced/26/values,influenced/27/values,influenced/28/values,influenced/29/values,influenced/30/values,influenced/31/values,genre/13/values,genre/14/values,genre/15/values,influenced/32/values,influenced/33/values,influenced/34/values,influenced/35/values,influenced/36/values,influenced/37/values,influenced/38/values,genre/16/values,genre/17/values,genre/18/values,genre/19/values,genre/20/values,genre/21/values,genre/22/values,genre/23/values,genre/24/values,genre/25/values,name/5/values,name/6/values,name/7/values,name/8/values,name/9/values,name/10/values
,,,,,,,,http://dbpedia.org/resource/Chick_lit,http://dbpedia.org/resource/Young-adult_fiction,,,,,,United States,65876640,1974-01-01,1974-01-01,"Carter, Ally",,,http://dbpedia.org/resource/Ally_Carter,American writer,American writer,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"literary fiction, drama",,,,,,,American,84065060,1945-08-09,1945-08-09,Barbara Delinsky,"Delinsky, Barbara",Barbara Delinsky,http://dbpedia.org/resource/Barbara_Delinsky,American writer,American writer,American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Historical_fiction,http://dbpedia.org/resource/Young-adult_fiction,,,,,,American,85314052,1935-06-08,1935-06-08,Carolyn Meyer,"Meyer, Carolyn",Carolyn Meyer,http://dbpedia.org/resource/Carolyn_Meyer,American chidlren's writer,American chidlren's writer,American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Historical_fiction,http://dbpedia.org/resource/Young-adult_fiction,,,,,,American,85314052,1935-06-08,1935-06-08,Carolyn Meyer,"Meyer, Carolyn",Carolyn Meyer,http://dbpedia.org/resource/Carolyn_Meyer,American chidlren's writer,American chidlren's writer,American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Short_story,http://dbpedia.org/resource/Science_fiction,http://dbpedia.org/resource/Fiction,,,,,,26466367,,,"Anders, Charlie",Charlie Jane Anders,Charlie Jane Anders,http://dbpedia.org/resource/Charlie_Jane_Anders,American science-fiction writer,American science-fiction writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://dbpedia.org/resource/Don_DeLillo,http://dbpedia.org/resource/Michael_Ondaatje,http://dbpedia.org/resource/Jack_Kerouac,http://dbpedia.org/resource/Edna_O'Brien,http://dbpedia.org/resource/John_Berger,http://dbpedia.org/resource/Benedict_Kiely,http://dbpedia.org/resource/James_Joyce,http://dbpedia.org/resource/E._L._Doctorow,http://dbpedia.org/resource/Literary_fiction,,,,,,,http://dbpedia.org/resource/Americans,87201568,1965-02-28,1965-02-28,Colum McCann,"McCann, Colum",Colum McCann,http://dbpedia.org/resource/Colum_McCann,Irish novelist,Irish novelist,http://dbpedia.org/resource/Americans,,,http://dbpedia.org/resource/Irish_people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Fantasy,http://dbpedia.org/resource/Science_fiction,,,,,,http://dbpedia.org/resource/United_States,14127299,,,Elenora Rose Sabin,"Sabin, Elenora Rose",Elenora Rose Sabin,http://dbpedia.org/resource/E._Rose_Sabin,American writer,American writer,http://dbpedia.org/resource/United_States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Memoir,http://dbpedia.org/resource/Mystery_fiction,http://dbpedia.org/resource/True_crime,,,,,,56757907,1939-03-16,1939-03-16,"Buchanan, Edna",Edna Buchanan,Edna Buchanan,http://dbpedia.org/resource/Edna_Buchanan,American writer,American writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,nonfiction,http://dbpedia.org/resource/Historical_romance,,,,,,http://dbpedia.org/resource/United_States,14993786,1962,1962,"Bly, Mary",Mary Bly,Mary Bly,http://dbpedia.org/resource/Eloisa_James,American academic,American academic,http://dbpedia.org/resource/United_States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Young-adult_fiction,,,,,,,http://dbpedia.org/resource/England,67613895,1973,1973,"Hardinge, Frances",Frances Hardinge,Frances Hardinge,http://dbpedia.org/resource/Frances_Hardinge,British children's writer,British children's writer,http://dbpedia.org/resource/England,,,http://dbpedia.org/resource/United_Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"speculative fiction , non-fiction & fiction",,,,,,,United States of America,45531588,1969-02-25,1969-02-25,Hanne Blank,,Hanne Blank,http://dbpedia.org/resource/Hanne_Blank,"Historian, writer, editor, activist, public speaker. Recent author of Virgin: The Untouched History (2007)","Historian, writer, editor, activist, public speaker. Recent author of Virgin: The Untouched History (2007)",United States of America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.robkantner.com,http://dbpedia.org/resource/Dave_Barry,http://dbpedia.org/resource/John_D._MacDonald,http://dbpedia.org/resource/Ed_McBain,http://dbpedia.org/resource/Lawrence_Block,http://dbpedia.org/resource/Donald_E._Westlake,http://dbpedia.org/resource/F._Paul_Wilson,http://dbpedia.org/resource/Robert_B._Parker,http://dbpedia.org/resource/Horror_fiction,http://dbpedia.org/resource/Mystery_fiction,http://dbpedia.org/resource/Thriller_(genre),,,,,,118678965,1970,1970,J. A. Konrath,"Konrath, J. A.",J. A. Konrath,http://dbpedia.org/resource/J._A._Konrath,American writer,American writer,,,,,http://dbpedia.org/resource/Thomas_Harris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.robkantner.com,http://dbpedia.org/resource/Dave_Barry,http://dbpedia.org/resource/John_D._MacDonald,http://dbpedia.org/resource/Ed_McBain,http://dbpedia.org/resource/Lawrence_Block,http://dbpedia.org/resource/Donald_E._Westlake,http://dbpedia.org/resource/F._Paul_Wilson,http://dbpedia.org/resource/Robert_B._Parker,http://dbpedia.org/resource/Horror_fiction,http://dbpedia.org/resource/Mystery_fiction,http://dbpedia.org/resource/Thriller_(genre),,,,,,118678965,1970,1970,J. A. Konrath,"Konrath, J. A.",J. A. Konrath,http://dbpedia.org/resource/J._A._Konrath,American writer,American writer,,,,,http://dbpedia.org/resource/Thomas_Harris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Young-adult_fiction,,,,,,,American,79117120,1963-02-12,1963-02-12,Jacqueline Woodson,"Woodson, Jacqueline",Jacqueline Woodson,http://dbpedia.org/resource/Jacqueline_Woodson,American writer,American writer,American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Science_fiction,,,,,,,,8334250,1953,1953,James BeauSeigneur,"Beauseigneur, James",James BeauSeigneur,http://dbpedia.org/resource/James_BeauSeigneur,American writer,American writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Women's_fiction,http://dbpedia.org/resource/Romance_novel,http://dbpedia.org/resource/History,,,,,American,57508801,,,"Barnett, Jill",Jill Barnett,Jill Barnett,http://dbpedia.org/resource/Jill_Barnett,romance novelist,romance novelist,American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Fantasy,http://dbpedia.org/resource/Comedy,http://dbpedia.org/resource/Satire,,,,,American,4774368,1957-05-20,1957-05-20,John Skipp,"Skipp, John",John Skipp,http://dbpedia.org/resource/John_Skipp,American writer,American writer,American,,http://dbpedia.org/resource/Bizarro_fiction,,,http://dbpedia.org/resource/Horror_fiction,http://dbpedia.org/resource/Pornography,http://dbpedia.org/resource/Splatterpunk,http://dbpedia.org/resource/Social_criticism,http://dbpedia.org/resource/Erotica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Fantasy,http://dbpedia.org/resource/Comedy,http://dbpedia.org/resource/Satire,,,,,American,4774368,1957-05-20,1957-05-20,John Skipp,"Skipp, John",John Skipp,http://dbpedia.org/resource/John_Skipp,American writer,American writer,American,,http://dbpedia.org/resource/Bizarro_fiction,,,http://dbpedia.org/resource/Horror_fiction,http://dbpedia.org/resource/Pornography,http://dbpedia.org/resource/Splatterpunk,http://dbpedia.org/resource/Social_criticism,http://dbpedia.org/resource/Erotica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Historical_fiction,http://dbpedia.org/resource/Detective_fiction,,,,,,American,32131643,1953,1953,John Straley,"Straley, John",John Straley,http://dbpedia.org/resource/John_Straley,American writer,American writer,American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Historical_fiction,http://dbpedia.org/resource/Detective_fiction,,,,,,American,32131643,1953,1953,John Straley,"Straley, John",John Straley,http://dbpedia.org/resource/John_Straley,American writer,American writer,American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://dbpedia.org/resource/John_Steinbeck,http://dbpedia.org/resource/Raymond_Chandler,http://dbpedia.org/resource/William_Lindsay_Gresham,http://dbpedia.org/resource/James_M._Cain,http://dbpedia.org/resource/Booth_Tarkington,http://dbpedia.org/resource/Frank_Norris,http://dbpedia.org/resource/Robert_Leslie_Bellem,http://dbpedia.org/resource/Nathanael_West,"Horror fiction, Fantasy, Film noir, Science fiction, Comic books",,,,,,,,65339290,1949-04-04,1949-04-04,John Steven Wooley,"Wooley, John",John Steven Wooley,http://dbpedia.org/resource/John_Wooley,American writer,American writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Young-adult_fiction,,,,,,,,36307265,1969-07-04,1969-07-04,Jordan Sonnenblick,"Sonnenblick, Jordan",Jordan Sonnenblick,http://dbpedia.org/resource/Jordan_Sonnenblick,American children's writer,American children's writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"Poetry, non-fiction, fiction",,,,,,,Mvskoke and American,30693197,1951-05-09,1951-05-09,Joy Harjo,"Harjo, Joy",Joy Harjo,http://dbpedia.org/resource/Joy_Harjo,American writer,American writer,Mvskoke and American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"Real life, Science fiction",,,,,,,,26553137,1962,1962,Julie Bertagna,"Bertagna, Julie",Julie Bertagna,http://dbpedia.org/resource/Julie_Bertagna,British writer,British writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Horror_fiction,http://dbpedia.org/resource/Science_fiction,http://dbpedia.org/resource/Fantasy,,,,,,9295130,1972,1972,"Musk, Justine",Justine Musk,Justine Musk,http://dbpedia.org/resource/Justine_Musk,Canadian writer,Canadian writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Horror_fiction,http://dbpedia.org/resource/Science_fiction,http://dbpedia.org/resource/Fantasy,,,,,,9295130,1972,1972,"Musk, Justine",Justine Musk,Justine Musk,http://dbpedia.org/resource/Justine_Musk,Canadian writer,Canadian writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://dbpedia.org/resource/J._R._R._Tolkien,http://dbpedia.org/resource/Stephen_R._Lawhead,http://dbpedia.org/resource/William_Golding,http://dbpedia.org/resource/C._S._Lewis,http://dbpedia.org/resource/George_MacDonald,http://dbpedia.org/resource/John_Milton,,,http://dbpedia.org/resource/Fantasy,http://dbpedia.org/resource/Science_fiction,,,,,,,57821302,1988-11-22,1988-11-22,"Guptara, Jyoti",Jyoti Guptara,Jyoti Guptara,http://dbpedia.org/resource/Jyoti_Guptara,British writer,British writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Fantasy,http://dbpedia.org/resource/Historical_fiction,http://dbpedia.org/resource/Children's_Fiction,,,,,,32910140,1966,1966,"Forsyth, Kate",Kate Forsyth,Kate Forsyth,http://dbpedia.org/resource/Kate_Forsyth,Australian writer,Australian writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Fantasy,http://dbpedia.org/resource/Horror_fiction,http://dbpedia.org/resource/Feminism,,,,,,36939041,1952-09-16,1952-09-16,Lisa Tuttle,"Tuttle, Lisa",Lisa Tuttle,http://dbpedia.org/resource/Lisa_Tuttle,"Science fiction, fantasy and horror author","Science fiction, fantasy and horror author",,,http://dbpedia.org/resource/Science_fiction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Fantasy,http://dbpedia.org/resource/Horror_fiction,http://dbpedia.org/resource/Feminism,,,,,,36939041,1952-09-16,1952-09-16,Lisa Tuttle,"Tuttle, Lisa",Lisa Tuttle,http://dbpedia.org/resource/Lisa_Tuttle,"Science fiction, fantasy and horror author","Science fiction, fantasy and horror author",,,http://dbpedia.org/resource/Science_fiction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Non-fiction,,,,,,,,41193984,1957-01-23,1957-01-23,Lou Schuler,"Schuler, Lou",Lou Schuler,http://dbpedia.org/resource/Lou_Schuler,American writer,American writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Speculative_fiction,http://dbpedia.org/resource/Magic_realism,http://dbpedia.org/resource/Historical_fantasy,,,,,http://dbpedia.org/resource/United_States,122184183,1969-01-21,1969-01-21,M. K. Hobson,"Hobson, M. K.",M. K. Hobson,http://dbpedia.org/resource/M._K._Hobson,American writer,American writer,http://dbpedia.org/resource/United_States,,http://dbpedia.org/resource/Fantasy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Historical_fiction,http://dbpedia.org/resource/Fantasy,,,,,,Australian,79471553,1959-05-20,1959-05-20,Marianne Curley,"Curley, Marianne",Marianne Curley,http://dbpedia.org/resource/Marianne_Curley,Australian writer,Australian writer,Australian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Horror_fiction,http://dbpedia.org/resource/Science_fiction,http://dbpedia.org/resource/Fantasy,,,,,http://dbpedia.org/resource/England,2409829,1960-01-13,1960-01-13,Mark Chadbourn,"Chadbourn, Mark",Mark Chadbourn,http://dbpedia.org/resource/Mark_Chadbourn,English author,English author,http://dbpedia.org/resource/England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Horror_fiction,http://dbpedia.org/resource/Science_fiction,http://dbpedia.org/resource/Fantasy,,,,,http://dbpedia.org/resource/England,2409829,1960-01-13,1960-01-13,Mark Chadbourn,"Chadbourn, Mark",Mark Chadbourn,http://dbpedia.org/resource/Mark_Chadbourn,English author,English author,http://dbpedia.org/resource/England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
